	19-03-26-R1-N1-A	19-03-26-R1-N1-B	19-03-26-R1-N1-C	19-03-26-R1-N1-D	19-03-26-R1-N2-C	22-01-18-R1-N1-B	22-01-18-R1-N1-C	22-01-18-R1-N1-D	22-01-18-R1-N2-A	22-01-18-R1-N2-B	22-01-18-R1-N2-C	22-01-18-R1-N2-D	22-01-25-R1-N1-A	22-01-25-R1-N1-B	22-01-25-R1-N1-D	22-01-25-R1-N2-A	22-01-25-R1-N2-B	22-01-25-R1-N2-D	22-03-22-R1-N1-B	22-03-22-R1-N1-C	22-03-22-R1-N1-D	22-03-22-R1-N2-B	22-03-22-R1-N2-D
p__SAR324_clade(Marine_group_B)	0.000525225847114259	0.000497941346968503	0.000320028802592233	0	0.000843499907420742	0.00165237233456606	0	0.00109429144628853	0	0	0	0.00124036835181357	0	0	0.000647548566142461	0	0	0	0	0	0	0	0.000535168195718654
p__WPS-2	0.000165070980521624	0.000274982534893054	0.000200018001620146	0.000446627958910228	0.000308597527105149	0.000629475175072783	0	0.000668733661620767	0.000478053020425902	0.000579710144927536	0	0.000488629956775042	0.000351160585735857	0.00030229746070133	0.000647548566142461	0.00065653723504033	0	0.000514853524172373	0	0	0.000886350206815048	0.000857387825092884	0
p__Latescibacterota	0.000315135508268555	0.000438485663748384	0.000250022502025182	0.000595503945213637	0.000946365749789125	0	0	0.000425557784667761	0	0.000927536231884058	0	0.000375869197519263	0.000316044527162271	0	0	0	0	0.000514853524172373	0.000539374325782093	0	0.000393933425251133	0.000762122511193674	0.000535168195718654
p__Hydrogenedentes	0.000270116149944476	0.000230390772477964	0.000230020701863168	0	0.000308597527105149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__RCP2-54	0	3.71598020125749e-05	6.00054004860437e-05	0	0	0.00102289715949327	0	0.000668733661620767	0.000608431116905693	0	0.00080895240663341	0.000338282277767337	0	0	0	0	0	0.000514853524172373	0	0	0.000689383494189482	0	0.000458715596330275
p__Elusimicrobiota	0.000285122602719169	0.00010404744563521	0.000100009000810073	0.000595503945213637	0.000596621885736622	0	0	0	0.000173837461973055	0	0.000404476203316705	0.000150347679007705	0	0	0	0	0	0	0.000337108953613808	0	0	0	0
p__Dependentiae	0.00048020648879018	0.000230390772477964	0.00026002340210619	0.000669941938365342	0.00024687802168412	0.00118026595326147	0	0.000425557784667761	0.000260756192959583	0	0.000539301604422273	0.000826912234542379	0.000667205112898128	0	0	0	0	0.00108119240076198	0.000674217907227616	0.00106544901065449	0	0	0
p__NB1-j	0.000180077433296317	0.000230390772477964	0.000170015301377124	0	0.000308597527105149	0	0	0	0.000738809213385485	0	0	0.000751738395038527	0	0	0	0	0	0	0	0	0	0	0
p__Deinococcota	0	0	0	0	0	0.000314737587536392	0	0	0.000651890482398957	0	0	0	0.0004916248200302	0.000453446191051995	0	0.00056274620146314	0	0.000720794933841322	0.000674217907227616	0	0	0	0
p__Firmicutes	0	1.486392080503e-05	0.000180016201458131	0	0	0	0	0	0.000608431116905693	0.000463768115942029	0	0.00120278143206164	0	0.000982466747279323	0	0	0	0	0	0	0	0	0
p__Campilobacterota	0.000105045169422852	5.94556832201198e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Sva0485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000555041628122109	0	0	0	0	0	0	0	0
p__Spirochaetota	0	0	0	0	8.22926738947065e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
